home_team                   ,away_team                   ,the_odds_api_id                  ,sportmonks_id ,abandoned ,start                ,end
Chennai Super Kings         ,Sunrisers Hyderabad         ,94c2b3ef3987ecb6b7ef4282f4a59525 ,        59198 ,FALSE     ,2024-04-28T14:00:00Z ,2024-04-28T17:59:53Z
Kolkata Knight Riders       ,Delhi Capitals              ,e9d805d1c3136952434e3b244aad8d98 ,        59201 ,FALSE     ,2024-04-29T14:00:00Z ,2024-04-29T17:29:00Z
Lucknow Super Giants        ,Mumbai Indians              ,67d1b5e03a17bec8800c44ebcb2a6214 ,        59204 ,FALSE     ,2024-04-30T14:00:00Z ,2024-04-30T17:52:30Z
Chennai Super Kings         ,Punjab Kings                ,cf42b8112d3177db79ff5fff69ec45ba ,        59207 ,FALSE     ,2024-05-01T14:00:00Z ,2024-05-01T17:56:28Z
Sunrisers Hyderabad         ,Rajasthan Royals            ,cffa268d37ccd86d7897f865c28bbc6c ,        59210 ,FALSE     ,2024-05-02T14:00:00Z ,2024-05-02T17:58:43Z
Mumbai Indians              ,Kolkata Knight Riders       ,0ae6c36cc2013631224635935ba9b08c ,        59213 ,FALSE     ,2024-05-03T14:00:00Z ,2024-05-03T17:45:11Z
Royal Challengers Bangalore ,Gujarat Titans              ,ff5b6654aaf45e888fb6de171dc78752 ,        59216 ,FALSE     ,2024-05-04T14:00:00Z ,2024-05-04T17:16:19Z
Punjab Kings                ,Chennai Super Kings         ,8f6bbc573b0f4e8a32808b325238976f ,        59219 ,FALSE     ,2024-05-05T10:00:00Z ,2024-05-05T13:37:08Z
Lucknow Super Giants        ,Kolkata Knight Riders       ,f4b5caf9cdbfc618771566d51556cdf8 ,        59222 ,FALSE     ,2024-05-05T14:00:00Z ,2024-05-05T17:46:37Z
Mumbai Indians              ,Sunrisers Hyderabad         ,3ff8125b66b8941c8b37086773fb0b9a ,        59225 ,FALSE     ,2024-05-06T14:00:00Z ,2024-05-06T17:41:59Z
Delhi Capitals              ,Rajasthan Royals            ,96560985c977883a82c6479ca59e9db0 ,        59228 ,FALSE     ,2024-05-07T14:00:00Z ,2024-05-07T17:56:25Z
Sunrisers Hyderabad         ,Lucknow Super Giants        ,c8361b54daa38d7ebb28f33d4dab1bf5 ,        59231 ,FALSE     ,2024-05-08T14:00:00Z ,2024-05-08T16:45:19Z
Punjab Kings                ,Royal Challengers Bangalore ,e218a919ff4a0ea5e8f0523d8170bf2a ,        59234 ,FALSE     ,2024-05-09T14:00:00Z ,2024-05-09T18:10:27Z
Gujarat Titans              ,Chennai Super Kings         ,b3ab24ebab6c83cfb56b9bddbdd222b0 ,        59237 ,FALSE     ,2024-05-10T14:00:00Z ,2024-05-10T18:00:17Z
Kolkata Knight Riders       ,Mumbai Indians              ,afb775b1a59a9c802346437059a85175 ,        59240 ,FALSE     ,2024-05-11T14:00:00Z ,2024-05-11T19:02:18Z
Chennai Super Kings         ,Rajasthan Royals            ,ff8e936ee33ac5d5a3ff73f59794d943 ,        59243 ,FALSE     ,2024-05-12T10:00:00Z ,2024-05-12T13:34:52Z
Royal Challengers Bangalore ,Delhi Capitals              ,6c96ea1c3ff1ebc35aa3e7827301206a ,        59246 ,FALSE     ,2024-05-12T14:00:00Z ,2024-05-12T17:35:22Z
Gujarat Titans              ,Kolkata Knight Riders       ,22db1f5fdeea99945fac4d39fe9f2352 ,        59249 ,TRUE      ,                     ,
Delhi Capitals              ,Lucknow Super Giants        ,148be889056e8550a8a077b8f9bf9a12 ,        59252 ,FALSE     ,2024-05-14T14:00:00Z ,2024-05-14T17:55:40Z
Rajasthan Royals            ,Punjab Kings                ,26624628dd624908bf9e1e9c010a534a ,        59255 ,FALSE     ,2024-05-15T14:00:00Z ,2024-05-15T17:43:50Z
Sunrisers Hyderabad         ,Gujarat Titans              ,a4b90ee5edee989df0ad8c6483063580 ,        59258 ,TRUE      ,                     ,
Mumbai Indians              ,Lucknow Super Giants        ,904e9987d0f20181862cc5f3160a955b ,        59261 ,FALSE     ,2024-05-17T14:00:00Z ,2024-05-17T18:46:50Z
Royal Challengers Bangalore ,Chennai Super Kings         ,593eb211f83a641fd16a47bc094a92b2 ,        59264 ,FALSE     ,2024-05-18T14:00:00Z ,2024-05-18T18:33:55Z
Sunrisers Hyderabad         ,Punjab Kings                ,da23c93b35ff326aee7afe569ef7c8f0 ,        59267 ,FALSE     ,2024-05-19T10:00:00Z ,2024-05-19T13:45:27Z
Rajasthan Royals            ,Kolkata Knight Riders       ,3b4aa4d11c88e301ad9126ce2a967bfc ,        59270 ,TRUE      ,                     ,
Kolkata Knight Riders       ,Sunrisers Hyderabad         ,0a49c78b3551586c05cb905453ef100b ,        59273 ,FALSE     ,2024-05-21T14:00:00Z ,2024-05-21T17:14:22Z
Rajasthan Royals            ,Royal Challengers Bangalore ,6a5ef307364476061d56363a8b6efca4 ,        59276 ,FALSE     ,2024-05-22T14:00:00Z ,2024-05-22T17:54:23Z
Sunrisers Hyderabad         ,Rajasthan Royals            ,4de3c3589b60052b14521f8325489fea ,        59279 ,FALSE     ,2024-05-24T14:00:00Z ,2024-05-24T17:48:10Z
Kolkata Knight Riders       ,Sunrisers Hyderabad         ,abf07c0604f2f530cca29bbaa7448967 ,        59282 ,FALSE     ,2024-05-26T14:00:00Z ,2024-05-26T16:55:01Z
